time (days),nf_pmn,nf_ery,nf_plt,nf_pmn_std,nf_ery_std,nf_plt_std
10,0.00167803030303,0.025059059604292,0.014645051192284,0.00167803030303,0.005282631808483,0.003303273427058
59,0.043496292209115,0.033186739753957,0.126941095027118,0.013867573887026,0.010550894690365,0.015013949111919
120,0.104113194827481,0.052190225940226,0.224901942759086,0.012803484476165,0.00584123109301,0.019294486413027
488,,,,,,
