"time (days)","nf_hsc","nf_hsc_h","nf_hsc_l","nf_mpp","nf_mpp_h","nf_mpp_l","nf_hpc1","nf_hpc1_h","nf_hpc1_l","nf_clp","nf_cmp","nf_mep","nf_gmp","nf_hsc_std","nf_hsc_h_std","nf_hsc_l_std","nf_mpp_std","nf_mpp_h_std","nf_mpp_l_std","nf_hpc1_std","nf_hpc1_h_std","nf_hpc1_l_std","nf_clp_std","nf_cmp_std","nf_mep_std","nf_gmp_std"
6,0.263142886034986,0.42776687301432,0.125550772085421,0.0122401338105703,0.0152247381595524,0.00499605077051621,0.00591572015379791,0.000503968253968254,0.006853003473208,0.00034124946512623,0.000811076234371689,0.00189609134251991,0.00481437110251844,0.0206277865330606,0.0215094396534504,0.0227787136475138,0.00392371078294451,0.00728071091729823,0.003024431965338,0.00339705267087026,0.000503968253968254,0.00412929008370718,0.00034124946512623,0.000617788573693127,0.00175978099283703,0.00251364565587161
104,0.50547373399794,0.70838766320312,0.367460795501871,0.121448094928315,0.119742028908627,0.132430994067807,0.0563622426700598,0.0485164635087361,0.0597326731945353,0.0356619862359752,0.0776350084701053,0.0870302990731228,0.0610093153637906,0.0461166135093447,0.0444249142985638,0.0416203012339467,0.0155771759140374,0.0124417269543173,0.0242044852555636,0.00940089216198887,0.00970735362806169,0.0113988262443597,0.00738337587139079,0.0123025810021471,0.0129542971614301,0.0129155859241741
208,0.658326968875823,0.79516905622179,0.558684250276602,0.191897070242998,0.162311460692316,0.212179500752313,0.110222784466661,0.091873367674288,0.11451078915806,0.0759768952112254,0.148339379216898,0.164988209158978,0.129155511416158,0.0478890862429437,0.0437699201231102,0.0439474279026045,0.0146469948509813,0.0221688780301418,0.0189325787468933,0.00898682875756865,0.0125772916172242,0.00946262476202704,0.00657185066514579,0.0112467055899124,0.0167327713141777,0.013431812841777
307,1.36032029108683,1.0283315434295,1.58012198927325,0.341322345000599,0.344082911156865,0.338618290618421,0.28429170342944,0.161127944115991,0.293095709975664,0.187834169174544,0.319673528576922,0.367067060817387,0.281614317460811,0.320673914036178,0.0440497896120103,0.543914020695022,0.0694208581295637,0.104806694136541,0.0702848129837789,0.0637222755755869,0.0361110505560291,0.0701533184465649,0.0521151044788191,0.0438593251985954,0.0647469787345699,0.0426571780931154
439,0.931819842642386,0.916174515724753,0.965446951381417,0.226465699355325,0.204440263417795,0.248165352426633,0.164386951564061,0.136793077519496,0.170651979884819,0.111627143664396,0.25391756561601,0.306549908380269,0.227402990849296,0.0540555453262282,0.0355941184629186,0.0852866757664438,0.0191852021203813,0.0266821795976053,0.0239705010279481,0.0224779105950239,0.0288690900176791,0.02137112377888,0.0190801324110981,0.0173603658399246,0.0312975335829026,0.0214326217588953
488,0.969231414638176,1.02835582051021,0.936893840832776,0.513669560742629,0.545032615539791,0.51028781868601,0.286492384548709,0.241582250412671,0.293636449908163,0.175155031586784,0.320149356653306,0.306710758253103,0.272994279291438,0.0467438263557012,0.0347104302920677,0.0732904578553079,0.0583618595283578,0.0826213146617363,0.0605057711033346,0.0458949990707537,0.0376847829928017,0.047451863223956,0.0181126594045243,0.0522223967689131,0.0435561742684154,0.0444133504771071
