time (days),nf_hpc1,nf_hpc1_h,nf_hpc1_l,nf_mpp,nf_mpp_h,nf_mpp_l,nf_hsc,nf_hsc_h,nf_hsc_l,nf_mkp,nf_mkp_48hi,nf_mkp_48lo,nf_clp,nf_gmp,nf_cmp,nf_mep,nf_hpc1_std,nf_hpc1_h_std,nf_hpc1_l_std,nf_mpp_std,nf_mpp_h_std,nf_mpp_l_std,nf_hsc_std,nf_hsc_h_std,nf_hsc_l_std,nf_mkp_std,nf_mkp_48hi_std,nf_mkp_48lo_std,nf_clp_std,nf_gmp_std,nf_cmp_std,nf_mep_std
10,0.002306459022418,0.004090909090909,0.001834782499749,0.031919040877351,0.029455770146337,0.034042450761752,0.332493473425423,0.50173128786806,0.160643626269318,0.027934473131858,0.010118358836563,0.068309650297749,,0.00172454353346,0.00469495672999,0.002330878162358,0.001610887462321,0.004090909090909,0.001091906392527,0.016254917332495,0.015312767120021,0.017294223689681,0.03301465992243,0.030092988957633,0.039691956623681,0.007858143499552,0.003523478998717,0.020363571577251,,0.001015319041922,0.00179868239152,0.000981505373557
59,0.029279411109414,0.020235265913332,0.03048351011782,0.080224928476853,0.101096048357468,0.073596423933564,0.543896783868234,0.70516346654008,0.463572656241474,0.082420011158157,0.047756960207122,0.213347474273492,0.031266331876498,0.028373661384957,0.039704336130602,0.035118714784057,0.008346676725591,0.009285807199603,0.008452295296138,0.009853334191328,0.019486002153569,0.009375328828588,0.064164015849768,0.038168917254121,0.072779473492484,0.009876776844622,0.005730646901325,0.02972475444538,0.007739665835584,0.002065183204872,0.008139798050552,0.005949590659399
120,0.071946002124574,0.062218682968683,0.073127796163511,0.158362188719332,0.198940317868889,0.142280928888072,0.769379839022696,0.94856259320545,0.60306781271067,0.139869691119691,0.1209811852669,0.3310983432412,0.053960593246308,0.068911973197688,0.081437713223428,0.086156462585034,0.009064689400104,0.013262135200532,0.009715652840542,0.005001427941726,0.015940939701746,0.006924247908395,0.057922234022744,0.033033179947106,0.046880644935414,0.011834753478343,0.008325023190673,0.026627534266334,0.011740295340559,0.009052231583419,0.006314048314746,0.010746422467539
488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
