time (days),num_mkp_obs,num_mkp_obs_std,rho_plt_obs,rho_plt_obs_std,nf_plt,nf_plt_std
12,,,890.8,153.3151656,0.03,0.00385751
16,,,2954,383.1713716,0.04,0.014551433
22,94977.72702,14850.22589,4682,911.2816798,0.16,0.007607072
