time (days),nf_hsc,nf_hsc_h,nf_hsc_l,nf_mpp,nf_mpp_h,nf_mpp_l,nf_hpc1,nf_hpc1_h,nf_hpc1_l,nf_mkp,nf_mkp_48hi,nf_mkp_48lo,nf_cmp,nf_mep,nf_gmp,nf_clp,nf_hsc_std,nf_hsc_h_std,nf_hsc_l_std,nf_mpp_std,nf_mpp_h_std,nf_mpp_l_std,nf_hpc1_std,nf_hpc1_h_std,nf_hpc1_l_std,nf_mkp_std,nf_mkp_48hi_std,nf_mkp_48lo_std,nf_cmp_std,nf_mep_std,nf_gmp_std,nf_clp_std
10,0.641473269,0.725596186,0.557625715,0.016343896,0.005350379,0.021858856,0.004022115,0,0.004857155,0.202277475,0.067369174,0.286516442,0.026381714,0.03741034,0.00379025,0.001108696,0.039025357,0.030067007,0.049966485,0.003473314,0.005350379,0.005199749,0.002010921,0.001,0.002415277,0.023804871,0.01386887,0.03620951,0.007127196,0.006725415,0.001037452,0.001108696
59,0.786955833,0.884019197,0.726426235,0.049306794,0.041854521,0.050903615,0.021413579,0.015947154,0.021943363,0.247819421,0.071570254,0.417879896,0.047177145,0.066855472,0.023953687,0.007845391,0.028085428,0.013623564,0.044626178,0.00894885,0.010579432,0.010410186,0.004618944,0.005944358,0.004684407,0.02231521,0.008332868,0.041869328,0.009382886,0.007186281,0.006984693,0.003303852
120,0.907241751,0.943622389,0.871320581,0.129068243,0.14414375,0.123956683,0.060333637,0.039174557,0.063661019,0.379955776,0.154291721,0.593851041,0.09672673,0.140212552,0.076868648,0.022147595,0.02590713,0.019415593,0.031942615,0.018772812,0.036453005,0.013093031,0.013234258,0.00790845,0.014617116,0.041781217,0.019972569,0.042422701,0.013785875,0.014664445,0.015589808,0.009079719
